"","Year","Month","Treatment","Plot","prevalence_within_plot","total_leaves","total_infected"
"1097","18","October","Always_sprayed","40",0.47887323943662,71,34
"1098","18","October","Always_sprayed","43",0.648351648351648,91,59
"1099","18","October","Always_sprayed","50",0.528571428571429,70,37
"1100","18","October","Always_sprayed","52",0.671232876712329,73,49
"1101","18","October","Always_sprayed","53",0.727272727272727,77,56
"1102","18","October","Always_sprayed","56",0.683544303797468,79,54
"1103","18","October","Always_sprayed","57",0.679012345679012,81,55
"1104","18","October","Always_sprayed","59",0.506493506493506,77,39
"1105","18","October","Control","1",0.734375,64,47
"1106","18","October","Control","7",0.770491803278688,61,47
"1107","18","October","Control","12",0.642857142857143,56,36
"1108","18","October","Control","13",0.694915254237288,59,41
"1109","18","October","Control","16",0.714285714285714,63,45
"1110","18","October","Control","20",0.647058823529412,51,33
"1111","18","October","Control","23",0.703703703703704,54,38
"1112","18","October","Control","29",0.672727272727273,55,37
"1113","18","October","Control","30",0.64,50,32
"1114","18","October","Control","38",0.773584905660377,53,41
"1115","18","October","Control","44",0.686567164179104,67,46
"1116","18","October","Control","46",0.777777777777778,63,49
"1117","18","October","Control","54",0.705882352941177,51,36
"1118","18","October","Control","55",0.693548387096774,62,43
"1119","18","October","Control","62",0.693548387096774,62,43
"1120","18","October","Control","63",0.727272727272727,55,40
"1121","18","October","CR_P","2",0.666666666666667,66,44
"1122","18","October","CR_P","6",0.685714285714286,70,48
"1123","18","October","CR_P","14",0.698412698412698,63,44
"1124","18","October","CR_P","15",0.60655737704918,61,37
"1125","18","October","CR_P","17",0.709090909090909,55,39
"1126","18","October","CR_P","18",0.676923076923077,65,44
"1127","18","October","CR_P","25",0.650793650793651,63,41
"1128","18","October","CR_P","26",0.734375,64,47
"1129","18","October","CR_P","28",0.666666666666667,60,40
"1130","18","October","CR_P","34",0.653061224489796,49,32
"1131","18","October","CR_P","35",0.620689655172414,58,36
"1132","18","October","CR_P","37",0.686274509803922,51,35
"1133","18","October","CR_P","39",0.661016949152542,59,39
"1134","18","October","CR_P","47",0.666666666666667,60,40
"1135","18","October","CR_P","51",0.741935483870968,62,46
"1136","18","October","CR_P","61",0.606060606060606,66,40
"1137","18","October","CRP","3",0.759036144578313,83,63
"1138","18","October","CRP","5",0.725,80,58
"1139","18","October","CRP","8",0.757142857142857,70,53
"1140","18","October","CRP","9",0.580645161290323,62,36
"1141","18","October","CRP","24",0.758620689655172,58,44
"1142","18","October","CRP","27",0.651515151515151,66,43
"1143","18","October","CRP","32",0.575342465753425,73,42
"1144","18","October","CRP","33",0.763888888888889,72,55
"1145","18","October","CRP","41",0.701149425287356,87,61
"1146","18","October","CRP","42",0.72,75,54
"1147","18","October","CRP","45",0.755813953488372,86,65
"1148","18","October","CRP","48",0.609756097560976,82,50
"1149","18","October","CRP","49",0.734939759036145,83,61
"1150","18","October","CRP","58",0.636363636363636,77,49
"1151","18","October","CRP","60",0.560975609756098,82,46
"1152","18","October","CRP","64",0.645569620253165,79,51
"1153","18","September","Always_sprayed","4",0.519480519480519,77,40
"1154","18","September","Always_sprayed","10",0.475,80,38
"1155","18","September","Always_sprayed","11",0.239130434782609,92,22
"1156","18","September","Always_sprayed","19",0.32183908045977,87,28
"1157","18","September","Always_sprayed","21",0.356164383561644,73,26
"1158","18","September","Always_sprayed","22",0.48,75,36
"1159","18","September","Always_sprayed","31",0.468354430379747,79,37
"1160","18","September","Always_sprayed","36",0.328767123287671,73,24
"1161","18","September","Always_sprayed","40",0.590361445783133,83,49
"1162","18","September","Always_sprayed","43",0.32967032967033,91,30
"1163","18","September","Always_sprayed","50",0.582278481012658,79,46
"1164","18","September","Always_sprayed","52",0.535211267605634,71,38
"1165","18","September","Always_sprayed","53",0.571428571428571,70,40
"1166","18","September","Always_sprayed","56",0.494252873563218,87,43
"1167","18","September","Always_sprayed","57",0.604938271604938,81,49
"1168","18","September","Always_sprayed","59",0.5,82,41
"1169","18","September","Control","1",0.815384615384615,65,53
"1170","18","September","Control","7",0.76,75,57
"1171","18","September","Control","12",0.671641791044776,67,45
"1172","18","September","Control","13",0.716666666666667,60,43
"1173","18","September","Control","16",0.722222222222222,72,52
"1174","18","September","Control","20",0.775862068965517,58,45
"1175","18","September","Control","23",0.7,60,42
"1176","18","September","Control","29",0.740740740740741,54,40
"1177","18","September","Control","30",0.74468085106383,47,35
"1178","18","September","Control","38",0.733333333333333,60,44
"1179","18","September","Control","44",0.671641791044776,67,45
"1180","18","September","Control","46",0.694915254237288,59,41
"1181","18","September","Control","54",0.793650793650794,63,50
"1182","18","September","Control","55",0.666666666666667,66,44
"1183","18","September","Control","62",0.723076923076923,65,47
"1184","18","September","Control","63",0.709090909090909,55,39
"1185","18","September","CR_P","2",0.692307692307692,65,45
"1186","18","September","CR_P","6",0.780821917808219,73,57
"1187","18","September","CR_P","14",0.716417910447761,67,48
"1188","18","September","CR_P","15",0.708333333333333,72,51
"1189","18","September","CR_P","17",0.763888888888889,72,55
"1190","18","September","CR_P","18",0.709677419354839,62,44
"1191","18","September","CR_P","25",0.738461538461539,65,48
"1192","18","September","CR_P","26",0.779661016949153,59,46
"1193","18","September","CR_P","28",0.772727272727273,66,51
"1194","18","September","CR_P","34",0.823529411764706,68,56
"1195","18","September","CR_P","35",0.783333333333333,60,47
"1196","18","September","CR_P","37",0.796610169491525,59,47
"1197","18","September","CR_P","39",0.693333333333333,75,52
"1198","18","September","CR_P","47",0.754098360655738,61,46
"1199","18","September","CR_P","51",0.761904761904762,63,48
"1200","18","September","CR_P","61",0.704918032786885,61,43
"1201","18","September","CRP","3",0.6625,80,53
"1202","18","September","CRP","5",0.395061728395062,81,32
"1203","18","September","CRP","8",0.683544303797468,79,54
"1204","18","September","CRP","9",0.475409836065574,61,29
"1205","18","September","CRP","24",0.575,80,46
"1206","18","September","CRP","27",0.652777777777778,72,47
"1207","18","September","CRP","32",0.445945945945946,74,33
"1208","18","September","CRP","33",0.7,80,56
"1209","18","September","CRP","41",0.595238095238095,84,50
"1210","18","September","CRP","42",0.597222222222222,72,43
